Format Version,1.1,Take Name,Take 2016-04-07 09.30.11 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 09.30.11.679 PM,Total Frames,8363,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10008,Marker_10008,Marker_10008,Marker_10009,Marker_10009,Marker_10009,Marker_10010,Marker_10010,Marker_10010
,,"8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E3570271A","8392B20CF49E3570271A","8392B20CF49E3570271A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
320,2.666667,-3.591286,1.945126,-3.681227,,,,,,
321,2.675000,-3.591123,1.945119,-3.681286,,,,,,
322,2.683333,-3.591012,1.945155,-3.681180,,,,,,
323,2.691667,-3.590879,1.945275,-3.681229,,,,,,
324,2.700000,-3.590581,1.945227,-3.681308,,,,,,
325,2.708333,-3.590411,1.945149,-3.681465,,,,,,
326,2.716667,-3.590211,1.945285,-3.681366,,,,,,
327,2.725000,-3.589953,1.945287,-3.681478,,,,,,
328,2.733333,-3.589680,1.945245,-3.681680,,,,,,
329,2.741667,-3.589392,1.945171,-3.681796,,,,,,
330,2.750000,-3.586903,1.940709,-3.687679,,,,,,
331,2.758333,,,,,,,,,
332,2.766667,,,,,,,,,
333,2.775000,-3.585621,1.940516,-3.688165,,,,,,
334,2.783333,-3.585232,1.940106,-3.688189,,,,,,
335,2.791667,-3.585190,1.940468,-3.688054,,,,,,
336,2.800000,-3.585008,1.940151,-3.688081,,,,,,
337,2.808333,-3.584992,1.940282,-3.687989,,,,,,
338,2.816667,-3.585002,1.940378,-3.688012,,,,,,
339,2.825000,-3.585072,1.940525,-3.688031,,,,,,
340,2.833333,-3.584657,1.940287,-3.688231,,,,,,
341,2.841667,-3.584507,1.940199,-3.688406,,,,,,
342,2.850000,-3.584405,1.940360,-3.688373,,,,,,
343,2.858333,-3.584310,1.940223,-3.688492,,,,,,
344,2.866667,-3.584172,1.940310,-3.688582,,,,,,
345,2.875000,-3.586362,1.945001,-3.682857,,,,,,
346,2.883333,-3.586073,1.945041,-3.682971,,,,,,
347,2.891667,-3.585738,1.944916,-3.683246,,,,,,
348,2.900000,-3.585623,1.944931,-3.683435,,,,,,
349,2.908333,-3.585595,1.945054,-3.683726,,,,,,
350,2.916667,-3.585521,1.945055,-3.683577,,,,,,
351,2.925000,-3.585478,1.945022,-3.683874,,,,,,
352,2.933333,-3.585498,1.945040,-3.683622,,,,,,
353,2.941667,-3.585624,1.945099,-3.683553,,,,,,
354,2.950000,-3.585686,1.945119,-3.683310,,,,,,
355,2.958333,-3.585677,1.945048,-3.683235,,,,,,
356,2.966667,-3.585660,1.945003,-3.683156,,,,,,
357,2.975000,-3.585657,1.944971,-3.682993,,,,,,
358,2.983333,-3.585743,1.945060,-3.682850,,,,,,
359,2.991667,-3.585757,1.945084,-3.682738,,,,,,
360,3.000000,-3.586056,1.945112,-3.682593,,,,,,
361,3.008333,-3.585988,1.944956,-3.682522,,,,,,
362,3.016667,-3.586013,1.945229,-3.682236,,,,,,
363,3.025000,-3.586155,1.945022,-3.682140,,,,,,
364,3.033333,-3.586112,1.945092,-3.682099,,,,,,
365,3.041667,-3.585990,1.944951,-3.682002,,,,,,
366,3.050000,-3.586035,1.945012,-3.681952,,,,,,
367,3.058333,-3.585937,1.945090,-3.682117,,,,,,
368,3.066667,-3.585694,1.944974,-3.681993,,,,,,
369,3.075000,-3.585642,1.944996,-3.682246,,,,,,
370,3.083333,-3.585485,1.945161,-3.682313,,,,,,
371,3.091667,-3.585376,1.945024,-3.682807,,,,,,
372,3.100000,-3.585342,1.945050,-3.683195,,,,,,
